col1,col2,col3,col4,col5
#2a2b2a,#706c61,#f8f4e3,#e5446d,#ff8966
#d6d6d7,#290400,#46494c,#4c5c68,#ef233c
#f7ebec,#ddbdd5,#662c91,#1fd6c7,#33312e
#50767c,#f7ffdd,#fcfdaf,#efd780,#dba159
#99290a,#ffffff,#e6e8e6,#ced0ce,#191919
#982649,#f9c80e,#f86624,#43bccd,#faf6f6
#141201,#eeba0b,#c36f09,#a63c06,#710000
#04080f,#507dbc,#a1c6ea,#bbd1ea,#ffffff
#054a91,#3e7cb1,#81a4cd,#dbe4ee,#f17300
#ffffff,#f79d65,#f4845f,#f27059,#f25c54
#eef0f2,#c6c7c4,#1a1b23,#cc3363,#20063b
#bfbdc1,#6d6a75,#37323e,#deb841,#de9e36
#000000,#586f7c,#d7eae9,#f4f4f9,#04724d
#001524,#15616d,#ffecd1,#ff7d00,#78290f
#5f0f40,#9a031e,#fb8b24,#e36414,#0f4c5c
#780000,#c1121f,#fdf0d5,#003049,#669bbc
#ff595e,#ffca3a,#8ac926,#1982c4,#6a4c93
#7bdff2,#b2f7ef,#eff7f6,#f7d6e0,#f2b5d4
#386641,#6a994e,#a7c957,#f2e8cf,#bc4749
#fffcf2,#ccc5b9,#403d39,#252422,#eb5e28
#000814,#001d3d,#003566,#ffc300,#ffd60a
#3d348b,#7678ed,#f7b801,#f18701,#f35b04
#220901,#621708,#941b0c,#bc3908,#f6aa1c
#8cb369,#f4e285,#f4a259,#5b8e7d,#bc4b51
#0c0f0a,#ff206e,#fbff12,#41ead4,#ffffff
#f3e9dc,#c08552,#5e3023,#895737,#dab49d
#05668d,#427aa1,#ebf2fa,#679436,#a5be00
#2b2d42,#8d99ae,#edf2f4,#ef233c,#d80032
#25ced1,#ffffff,#fceade,#ff8a5b,#ea526f
#002642,#840032,#e59500,#e5dada,#02040f
#000000,#0c1821,#1b2a41,#324a5f,#ccc9dc
#dad2d8,#143642,#0f8b8d,#ec9a29,#a8201a
#eff9f0,#ddc8c4,#896a67,#6b4d57,#13070c
#151e3f,#030027,#f2f3d9,#dc9e82,#c16e70
#4c5454,#ff715b,#ffffff,#1ea896,#523f38
#f08700,#f49f0a,#efca08,#00a6a6,#bbdef0
#d64045,#e9fff9,#9ed8db,#467599,#1d3354
#ffffff,#fff8e8,#fcd581,#d52941,#990d35
#a41623,#f85e00,#ffb563,#ffd29d,#918450
#3c1518,#69140e,#a44200,#d58936,#fff94f
#6e0d25,#ffffb3,#dcab6b,#774e24,#6a381f
#515151,#848383,#b5b5b5,#ffca1e,#ffeb54
#aaba78,#cdd685,#fbec88,#f0ca6a,#cf9963
#d3f8e2,#e4c1f9,#f694c1,#ede7b1,#a9def9
#f5ffc6,#b4e1ff,#ab87ff,#fface4,#c1ff9b
#fcefef,#7fd8be,#a1fcdf,#fcd29f,#fcab64
#e5d9f2,#f5efff,#cdc1ff,#a594f9,#7371fc
#d0b8ac,#f3d8c7,#efe5dc,#fbfefb,#ffffff
#fdba31,#370075,#620097,#e2dada,#000000
#731dd8,#05a8aa,#f44708,#ffae03,#944bbb



